Date,Time,Sensor_id,Sensor_data,Remarks
27-02-2008,12:49:24 AM,M13,OFF,Phone_Call end
27-02-2008,12:49:53 AM,M14,ON,Wash_hands begin
27-02-2008,12:49:54 AM,M15,ON,
27-02-2008,12:49:54 AM,M16,ON,
27-02-2008,12:49:56 AM,M17,ON,
27-02-2008,12:49:56 AM,M15,OFF,
27-02-2008,12:49:56 AM,M14,OFF,
27-02-2008,12:49:58 AM,M16,OFF,
27-02-2008,12:49:58 AM,M13,OFF,
27-02-2008,12:49:58 AM,AD1-B,0.0332818,
27-02-2008,12:49:59 AM,M17,OFF,
27-02-2008,12:50:01 AM,AD1-B,0.302934,
27-02-2008,12:50:10 AM,AD1-B,0.471413,
27-02-2008,12:50:25 AM,AD1-B,0.538329,
27-02-2008,12:50:39 AM,M17,ON,
27-02-2008,12:50:41 AM,AD1-B,0.467429,
27-02-2008,12:50:43 AM,M17,OFF,Wash_hands end
27-02-2008,12:50:44 AM,M17,ON,Cook begin
27-02-2008,12:50:56 AM,I07,ABSENT,
27-02-2008,12:51:02 AM,D01,OPEN,
27-02-2008,12:51:04 AM,I02,ABSENT,
27-02-2008,12:51:06 AM,I03,ABSENT,
27-02-2008,12:51:10 AM,I01,ABSENT,
27-02-2008,12:51:11 AM,M17,ON,
27-02-2008,12:51:11 AM,I04,ABSENT,
27-02-2008,12:51:13 AM,I05,ABSENT,
27-02-2008,12:51:17 AM,D01,CLOSE,
27-02-2008,12:51:25 AM,AD1-C,0.0338677,
27-02-2008,12:51:25 AM,M17,OFF,
27-02-2008,12:51:28 AM,AD1-C,0.129533,
27-02-2008,12:51:30 AM,M17,ON,
27-02-2008,12:51:46 AM,AD1-A,2.81965,
27-02-2008,12:51:49 AM,AD1-A,2.88004,
27-02-2008,12:51:50 AM,M17,OFF,
27-02-2008,12:51:52 AM,AD1-A,2.99841,
27-02-2008,12:51:55 AM,M17,ON,
27-02-2008,12:51:55 AM,AD1-A,3.07684,
27-02-2008,12:52:02 AM,AD1-A,3.14442,
27-02-2008,12:52:08 AM,M17,OFF,
27-02-2008,12:52:10 AM,AD1-A,3.22653,
27-02-2008,12:52:13 AM,M17,ON,
27-02-2008,12:52:23 PM,E01,STOP_INSTRUCT,
27-02-2008,12:52:29 AM,M17,OFF,
27-02-2008,12:52:45 AM,M17,ON,
27-02-2008,12:52:47 AM,M17,OFF,
27-02-2008,12:52:48 AM,M17,ON,
27-02-2008,12:52:52 AM,M17,OFF,
27-02-2008,12:53:04 AM,M17,ON,
27-02-2008,12:53:05 AM,D01,OPEN,
27-02-2008,12:53:08 AM,D01,CLOSE,
27-02-2008,12:53:20 AM,AD1-A,3.28802,
27-02-2008,12:53:27 AM,M17,OFF,
27-02-2008,12:53:27 AM,M16,ON,
27-02-2008,12:53:35 AM,M16,OFF,
27-02-2008,12:53:40 AM,M17,ON,
27-02-2008,12:53:48 AM,M17,OFF,
27-02-2008,12:53:50 AM,M17,ON,
27-02-2008,12:53:53 AM,M17,OFF,
27-02-2008,12:54:00 AM,M17,ON,
27-02-2008,12:54:10 AM,M17,OFF,
27-02-2008,12:54:12 AM,M17,ON,
27-02-2008,12:54:32 AM,M17,OFF,
27-02-2008,12:54:34 AM,M17,ON,
27-02-2008,12:54:39 AM,M17,OFF,
27-02-2008,12:54:46 AM,AD1-A,3.33802,
27-02-2008,12:54:47 AM,M16,ON,
27-02-2008,12:54:50 AM,AD1-A,3.1888,
27-02-2008,12:54:52 AM,M16,OFF,
27-02-2008,12:54:52 AM,AD1-A,3.09059,
27-02-2008,12:54:53 AM,M16,ON,
27-02-2008,12:54:58 AM,AD1-A,3.01809,
27-02-2008,12:54:59 AM,M16,OFF,
27-02-2008,12:55:05 AM,M16,ON,
27-02-2008,12:55:12 AM,M16,OFF,
27-02-2008,12:55:17 AM,AD1-A,2.93059,
27-02-2008,12:55:49 AM,M16,ON,
27-02-2008,12:55:55 AM,M16,OFF,
27-02-2008,12:55:56 AM,AD1-A,2.99966,
27-02-2008,12:56:02 AM,AD1-A,3.05223,
27-02-2008,12:56:11 AM,M16,ON,
27-02-2008,12:56:17 AM,M16,OFF,
27-02-2008,12:56:54 AM,M17,ON,
27-02-2008,12:56:56 AM,M17,OFF,
27-02-2008,12:56:58 AM,AD1-A,3.00122,
27-02-2008,12:57:07 AM,AD1-A,2.92129,
27-02-2008,12:57:21 AM,M17,ON,
27-02-2008,12:57:26 AM,M17,OFF,
27-02-2008,12:57:27 AM,M17,ON,
27-02-2008,12:57:29 AM,M17,OFF,
27-02-2008,12:57:31 AM,M17,ON,
27-02-2008,12:57:36 AM,M17,OFF,
27-02-2008,12:58:01 AM,AD1-A,2.85301,
27-02-2008,12:58:18 AM,M17,ON,
27-02-2008,12:58:26 AM,M17,OFF,
27-02-2008,12:58:33 AM,M17,ON,Cook end
27-02-2008,12:59:01 AM,M17,ON,Eat begin
27-02-2008,12:59:06 AM,M16,ON,
27-02-2008,12:59:10 AM,M16,OFF,
27-02-2008,12:59:11 AM,M17,OFF,
27-02-2008,12:59:11 AM,M17,ON,
27-02-2008,12:59:11 AM,M16,ON,
27-02-2008,12:59:13 AM,M17,OFF,
27-02-2008,12:59:13 AM,M16,OFF,
27-02-2008,12:59:17 AM,M17,ON,
27-02-2008,12:59:20 AM,M16,ON,
27-02-2008,12:59:20 AM,M17,OFF,
27-02-2008,12:59:21 AM,M15,ON,
27-02-2008,12:59:24 AM,M17,ON,
27-02-2008,12:59:26 AM,M15,OFF,
27-02-2008,12:59:26 AM,D01,OPEN,
27-02-2008,12:59:27 AM,M16,OFF,
27-02-2008,12:59:27 AM,I06,ABSENT,
27-02-2008,12:59:30 AM,D01,CLOSE,
27-02-2008,12:59:38 AM,M15,ON,
27-02-2008,12:59:39 AM,M16,ON,
27-02-2008,12:59:39 AM,M14,ON,
27-02-2008,12:59:42 AM,M13,ON,
27-02-2008,12:59:43 AM,M15,OFF,
27-02-2008,12:59:43 AM,M16,OFF,
27-02-2008,12:59:44 AM,M17,OFF,
27-02-2008,12:59:45 AM,M13,OFF,
27-02-2008,12:59:46 AM,M13,ON,
27-02-2008,12:59:48 AM,M13,OFF,
27-02-2008,12:59:53 AM,M14,OFF,
27-02-2008,12:59:53 AM,M14,ON,
27-02-2008,12:59:56 AM,M14,OFF,
27-02-2008,12:59:56 AM,M13,ON,
27-02-2008,12:59:56 AM,M14,ON,
27-02-2008,01:00:00 AM,M13,OFF,
27-02-2008,01:00:00 AM,M13,ON,
27-02-2008,12:00:02 AM,M13,OFF,
27-02-2008,12:00:03 AM,M14,OFF,
27-02-2008,12:00:07 AM,M13,ON,
27-02-2008,12:00:09 AM,M13,OFF,
27-02-2008,12:00:27 AM,M14,ON,
27-02-2008,12:00:38 AM,M14,OFF,
27-02-2008,12:01:29 AM,M14,ON,
27-02-2008,12:01:31 AM,M14,OFF,
27-02-2008,12:01:31 AM,M14,ON,
27-02-2008,12:01:33 AM,M14,OFF,
27-02-2008,12:01:51 AM,M13,ON,
27-02-2008,12:01:56 AM,M13,OFF,
27-02-2008,12:01:56 AM,M13,ON,Eat end
27-02-2008,12:01:58 AM,M14,ON,Clean begin
27-02-2008,12:01:58 AM,M13,OFF,
27-02-2008,12:02:00 AM,M14,ON,
27-02-2008,12:02:02 AM,M13,ON,
27-02-2008,12:02:02 AM,M14,OFF,
27-02-2008,12:02:04 AM,M13,OFF,
27-02-2008,12:02:18 AM,M14,ON,
27-02-2008,12:02:18 AM,M13,ON,
27-02-2008,12:02:22 AM,M13,OFF,
27-02-2008,12:02:27 AM,M15,ON,
27-02-2008,12:02:28 AM,M16,ON,
27-02-2008,12:02:29 AM,M17,ON,
27-02-2008,12:02:30 AM,M15,OFF,
27-02-2008,12:02:31 AM,M14,OFF,
27-02-2008,12:02:31 AM,M16,OFF,
27-02-2008,12:02:33 AM,M17,OFF,
27-02-2008,12:02:33 AM,M17,ON,
27-02-2008,12:02:35 AM,M17,OFF,
27-02-2008,12:02:40 AM,M17,ON,
27-02-2008,12:02:43 AM,D01,OPEN,
27-02-2008,12:02:49 AM,M17,OFF,
27-02-2008,12:02:50 AM,I04,PRESENT,
27-02-2008,12:02:53 AM,I03,PRESENT,
27-02-2008,12:02:55 AM,I06,PRESENT,
27-02-2008,12:02:57 AM,M17,ON,
27-02-2008,12:02:59 AM,D01,CLOSE,
27-02-2008,12:03:10 AM,M18,ON,
27-02-2008,12:03:16 AM,M17,OFF,
27-02-2008,12:03:20 AM,M18,OFF,
27-02-2008,12:03:20 AM,M18,ON,
27-02-2008,12:03:21 AM,M17,ON,
27-02-2008,12:03:24 AM,M18,OFF,
27-02-2008,12:03:25 AM,M17,OFF,
27-02-2008,12:03:28 AM,AD1-B,0.0676182,
27-02-2008,12:03:32 AM,AD1-B,0.277075,
27-02-2008,12:04:13 AM,AD1-B,0.434733,
27-02-2008,12:04:16 AM,AD1-B,0.344849,
27-02-2008,12:05:37 AM,AD1-B,0.0508211,
27-02-2008,12:05:40 AM,AD1-B,0.419811,
27-02-2008,12:06:03 AM,M18,ON,
27-02-2008,12:06:05 AM,M18,OFF,
27-02-2008,12:06:33 AM,M17,ON,
27-02-2008,12:06:34 AM,AD1-B,0.476374,
27-02-2008,12:06:34 AM,M18,ON,
27-02-2008,12:06:36 AM,M17,OFF,
27-02-2008,12:06:40 AM,M18,OFF,
27-02-2008,12:06:42 AM,M18,ON,
27-02-2008,12:06:42 AM,M17,ON,
27-02-2008,12:06:43 AM,M18,ON,
27-02-2008,12:06:46 AM,AD1-B,0.0590243,
27-02-2008,12:06:47 AM,M18,OFF,
27-02-2008,12:06:48 AM,M17,OFF,
27-02-2008,12:06:49 AM,AD1-B,0.364185,
27-02-2008,12:07:03 AM,M17,ON,
27-02-2008,12:07:04 AM,AD1-B,0.486101,
27-02-2008,12:07:07 AM,AD1-B,0.103908,
27-02-2008,12:07:12 AM,M18,ON,
27-02-2008,12:07:15 AM,M18,OFF,Clean end
29-02-2008,12:50:04 AM,M23,ON,Phone_Call begin
29-02-2008,12:50:05 AM,M07,ON,
29-02-2008,12:50:05 AM,M08,ON,
29-02-2008,12:50:05 AM,M23,OFF,
29-02-2008,12:50:06 AM,M07,OFF,
29-02-2008,12:50:06 AM,M14,ON,
29-02-2008,12:50:08 AM,M08,OFF,
29-02-2008,12:50:09 AM,M13,ON,
29-02-2008,12:50:09 AM,M01,OFF,
29-02-2008,12:50:10 AM,M13,OFF,
29-02-2008,12:50:11 AM,M14,OFF,
29-02-2008,12:50:12 AM,I08,ABSENT,
29-02-2008,12:50:14 AM,M14,ON,
29-02-2008,12:50:17 AM,M14,OFF,
29-02-2008,12:50:26 AM,M14,ON,
29-02-2008,12:50:31 AM,M14,OFF,
29-02-2008,12:50:32 AM,M14,ON,
29-02-2008,12:50:34 AM,M14,OFF,
29-02-2008,12:50:37 AM,M14,ON,
29-02-2008,12:50:40 AM,M14,OFF,
29-02-2008,12:50:41 AM,M13,ON,
29-02-2008,12:50:44 AM,M13,OFF,
29-02-2008,12:50:47 AM,M13,ON,
29-02-2008,12:50:49 AM,M13,OFF,
29-02-2008,12:50:50 AM,M14,ON,
29-02-2008,12:50:51 AM,M13,ON,
29-02-2008,12:50:51 AM,M14,OFF,
29-02-2008,12:50:53 AM,M13,OFF,
29-02-2008,12:51:22 PM,asterisk,START,
29-02-2008,12:51:50 AM,M14,ON,
29-02-2008,12:51:51 PM,asterisk,END,
29-02-2008,12:51:52 AM,M14,OFF,Phone_Call end
29-02-2008,12:51:59 AM,M13,ON,Wash_hands begin
29-02-2008,12:51:59 AM,M14,OFF,
29-02-2008,12:51:59 AM,I08,PRESENT,
29-02-2008,12:52:02 AM,M14,ON,
29-02-2008,12:52:03 AM,M13,OFF,
29-02-2008,12:52:05 AM,M14,OFF,
29-02-2008,12:52:09 AM,M14,ON,
29-02-2008,12:52:10 AM,M13,ON,
29-02-2008,12:52:12 AM,M13,OFF,
29-02-2008,12:52:14 AM,M15,ON,
29-02-2008,12:52:14 AM,M16,ON,
29-02-2008,12:52:15 AM,M17,ON,
29-02-2008,12:52:17 AM,M14,OFF,
29-02-2008,12:52:17 AM,M16,OFF,
29-02-2008,12:52:18 AM,M15,OFF,
29-02-2008,12:52:20 AM,M17,OFF,
29-02-2008,12:52:20 AM,AD1-C,0.0351177,
29-02-2008,12:52:23 AM,AD1-C,0.336568,
29-02-2008,12:52:37 AM,AD1-C,0.52618,
29-02-2008,12:52:39 AM,M17,ON,
29-02-2008,12:52:40 AM,AD1-C,0.394342,
29-02-2008,12:52:44 AM,M17,OFF,
29-02-2008,12:52:45 AM,M17,ON,
29-02-2008,12:52:51 AM,M18,ON,
29-02-2008,12:52:56 AM,M18,OFF,Wash_hands end
29-02-2008,12:53:15 AM,M17,ON,Cook begin
29-02-2008,12:53:15 AM,D01,OPEN,
29-02-2008,12:53:20 AM,I07,ABSENT,
29-02-2008,12:53:21 AM,M17,OFF,
29-02-2008,12:53:24 AM,M17,ON,
29-02-2008,12:53:25 AM,AD1-A,2.80004,
29-02-2008,12:53:28 AM,AD1-A,2.90075,
29-02-2008,12:53:30 AM,M17,OFF,
29-02-2008,12:53:31 AM,AD1-A,3.01583,
29-02-2008,12:53:32 AM,I05,ABSENT,
29-02-2008,12:53:33 AM,M17,ON,
29-02-2008,12:53:34 AM,AD1-A,3.08747,
29-02-2008,12:53:40 AM,AD1-A,3.1581,
29-02-2008,12:53:41 AM,M17,OFF,
29-02-2008,12:53:43 AM,AD1-C,0.0539852,
29-02-2008,12:53:48 AM,M17,ON,
29-02-2008,12:53:49 AM,AD1-A,3.23599,
29-02-2008,12:53:49 AM,AD1-C,0.180745,
29-02-2008,12:53:52 AM,M17,OFF,
29-02-2008,12:53:59 AM,M17,ON,
29-02-2008,12:54:00 AM,I05,PRESENT,
29-02-2008,12:54:00 AM,M17,OFF,
29-02-2008,12:54:01 AM,I05,PRESENT,
29-02-2008,12:54:01 AM,M17,ON,
29-02-2008,12:54:02 AM,I02,ABSENT,
29-02-2008,12:54:04 AM,M17,OFF,
29-02-2008,12:54:05 AM,M17,ON,
29-02-2008,12:54:06 AM,M17,OFF,
29-02-2008,12:54:07 AM,M17,ON,
29-02-2008,12:54:08 AM,I05,ABSENT,
29-02-2008,12:54:09 AM,M17,OFF,
29-02-2008,12:54:09 AM,M17,ON,
29-02-2008,12:54:11 AM,M17,OFF,
29-02-2008,12:54:11 AM,M17,ON,
29-02-2008,12:54:14 AM,M17,ON,
29-02-2008,12:54:18 AM,M17,OFF,
29-02-2008,12:54:20 AM,M17,ON,
29-02-2008,12:54:22 AM,M17,OFF,
29-02-2008,12:54:22 AM,M17,ON,
29-02-2008,12:54:24 AM,M17,OFF,
29-02-2008,12:54:29 AM,M17,ON,
29-02-2008,12:54:32 AM,M17,OFF,
29-02-2008,12:54:33 AM,M17,ON,
29-02-2008,12:54:40 AM,M17,OFF,
29-02-2008,12:54:41 AM,M17,ON,
29-02-2008,12:54:41 AM,I02,PRESENT,
29-02-2008,12:54:44 AM,M17,OFF,
29-02-2008,12:54:52 AM,AD1-A,3.2895,
29-02-2008,12:54:55 AM,AD1-A,3.15145,
29-02-2008,12:54:56 AM,M17,ON,
29-02-2008,12:54:59 AM,M17,OFF,
29-02-2008,12:54:59 AM,AD1-A,3.07833,
29-02-2008,12:55:02 AM,AD1-A,3.0127,
29-02-2008,12:55:07 AM,M17,ON,
29-02-2008,12:55:10 AM,M17,OFF,
29-02-2008,12:55:14 AM,M17,ON,
29-02-2008,12:55:17 AM,I01,ABSENT,
29-02-2008,12:55:20 AM,I03,ABSENT,
29-02-2008,12:55:21 AM,M17,OFF,
29-02-2008,12:55:22 AM,M17,ON,
29-02-2008,12:55:22 AM,I03,PRESENT,
29-02-2008,12:55:22 AM,AD1-A,2.96005,
29-02-2008,12:55:26 AM,D01,CLOSE,
29-02-2008,12:55:35 AM,M17,OFF,
29-02-2008,12:55:42 AM,M17,ON,
29-02-2008,12:55:48 AM,M17,OFF,
29-02-2008,12:55:57 AM,M17,ON,
29-02-2008,12:55:59 AM,D01,OPEN,
29-02-2008,12:56:00 AM,I04,ABSENT,
29-02-2008,12:56:00 AM,M17,OFF,
29-02-2008,12:56:02 AM,D01,CLOSE,
29-02-2008,12:56:03 AM,M17,ON,
29-02-2008,12:56:07 AM,M17,OFF,
29-02-2008,12:56:19 AM,M17,ON,
29-02-2008,12:56:24 AM,M17,OFF,
29-02-2008,12:56:44 AM,M17,ON,
29-02-2008,12:56:48 AM,M17,OFF,
29-02-2008,12:56:49 AM,M17,ON,
29-02-2008,12:56:54 AM,M17,OFF,
29-02-2008,12:57:20 AM,M17,ON,
29-02-2008,12:57:24 AM,M17,OFF,
29-02-2008,12:57:38 AM,M17,ON,
29-02-2008,12:57:43 AM,D01,OPEN,
29-02-2008,12:57:44 AM,M17,OFF,
29-02-2008,12:57:44 AM,M17,ON,
29-02-2008,12:57:46 AM,M17,OFF,
29-02-2008,12:57:47 AM,I04,PRESENT,
29-02-2008,12:57:49 AM,D01,CLOSE,
29-02-2008,12:57:58 AM,AD1-A,3.0288,
29-02-2008,12:58:04 AM,AD1-A,2.93708,
29-02-2008,12:58:06 AM,M17,ON,
29-02-2008,12:58:10 AM,M17,OFF,
29-02-2008,12:58:23 AM,AD1-A,2.87879,
29-02-2008,12:58:54 AM,M17,ON,
29-02-2008,12:58:56 AM,M18,ON,
29-02-2008,12:59:01 AM,M17,OFF,
29-02-2008,12:59:02 AM,M18,OFF,
29-02-2008,12:59:22 AM,M17,ON,
29-02-2008,12:59:24 AM,M17,OFF,
29-02-2008,12:59:26 AM,AD1-C,0.0400006,
29-02-2008,12:59:31 AM,M17,ON,
29-02-2008,12:59:39 AM,M17,OFF,
29-02-2008,12:59:49 AM,AD1-C,0.203089,
29-02-2008,12:59:50 AM,M17,ON,
29-02-2008,12:59:52 AM,AD1-C,0.101486,Cook end
29-02-2008,12:00:14 AM,M17,ON,Eat begin
29-02-2008,12:00:16 AM,D01,OPEN,
29-02-2008,12:00:19 AM,M17,OFF,
29-02-2008,12:00:19 AM,I06,ABSENT,
29-02-2008,12:00:21 AM,I03,ABSENT,
29-02-2008,12:00:22 AM,M17,ON,
29-02-2008,12:00:24 AM,D01,CLOSE,
29-02-2008,12:00:28 AM,AD1-C,0.0357427,
29-02-2008,12:00:30 AM,M17,OFF,
29-02-2008,12:00:32 AM,M17,ON,
29-02-2008,12:00:34 AM,AD1-C,0.338638,
29-02-2008,12:00:38 AM,M17,OFF,
29-02-2008,12:00:39 AM,M17,ON,
29-02-2008,12:00:41 AM,D01,OPEN,
29-02-2008,12:00:42 AM,I06,PRESENT,
29-02-2008,12:00:43 AM,M17,OFF,
29-02-2008,12:00:44 AM,D01,CLOSE,
29-02-2008,12:00:44 AM,M17,ON,
29-02-2008,12:00:47 AM,M16,ON,
29-02-2008,12:00:48 AM,M15,ON,
29-02-2008,12:00:48 AM,M14,ON,
29-02-2008,12:00:50 AM,M15,OFF,
29-02-2008,12:00:51 AM,M17,OFF,
29-02-2008,12:00:52 AM,M16,OFF,
29-02-2008,12:00:56 AM,M13,ON,
29-02-2008,12:01:00 AM,M13,OFF,
29-02-2008,12:01:01 AM,M14,OFF,
29-02-2008,12:01:02 AM,M14,ON,
29-02-2008,12:01:03 AM,M14,OFF,
29-02-2008,12:01:11 AM,M14,ON,
29-02-2008,12:01:13 AM,M14,OFF,Eat end
29-02-2008,12:01:50 AM,M14,ON,Clean begin
29-02-2008,12:01:52 AM,M13,OFF,
29-02-2008,12:01:52 AM,M14,OFF,
29-02-2008,12:01:52 AM,M14,ON,
29-02-2008,12:01:54 AM,M15,ON,
29-02-2008,12:01:54 AM,M16,ON,
29-02-2008,12:01:56 AM,M17,ON,
29-02-2008,12:01:58 AM,M14,OFF,
29-02-2008,12:01:58 AM,M15,OFF,
29-02-2008,12:01:58 AM,D01,OPEN,
29-02-2008,12:01:58 AM,M16,OFF,
29-02-2008,12:02:00 AM,I06,ABSENT,
29-02-2008,12:02:03 AM,M17,OFF,
29-02-2008,12:02:05 AM,M17,ON,
29-02-2008,12:02:07 AM,I06,PRESENT,
29-02-2008,12:02:09 AM,D01,CLOSE,
29-02-2008,12:02:14 AM,M17,OFF,
29-02-2008,12:02:16 AM,AD1-B,0.0540243,
29-02-2008,12:02:19 AM,AD1-B,0.283872,
29-02-2008,12:02:34 AM,AD1-B,0.229066,
29-02-2008,12:02:37 AM,AD1-B,0.164495,
29-02-2008,12:02:43 AM,AD1-B,0.405436,
29-02-2008,12:03:10 AM,AD1-B,0.480007,
29-02-2008,12:03:14 AM,AD1-B,0.404967,
29-02-2008,12:03:14 AM,AD1-C,0.0467585,
29-02-2008,12:03:19 AM,AD1-C,0.274731,
29-02-2008,12:03:23 AM,AD1-B,0.344693,
29-02-2008,12:03:23 AM,AD1-C,0.156135,
29-02-2008,12:05:09 AM,M18,ON,
29-02-2008,12:05:13 AM,M18,OFF,
29-02-2008,12:05:49 AM,AD1-B,0.223675,
29-02-2008,12:05:55 AM,AD1-B,0.274457,
29-02-2008,12:05:57 AM,M17,ON,
29-02-2008,12:05:58 AM,AD1-B,0.107502,
29-02-2008,12:06:02 AM,M17,OFF,
29-02-2008,12:06:04 AM,M17,ON,Clean end
29-02-2008,12:21:29 AM,M23,ON,Phone_Call begin
29-02-2008,12:21:29 AM,M01,ON,
29-02-2008,12:21:30 AM,M07,ON,
29-02-2008,12:21:30 AM,M08,ON,
29-02-2008,12:21:31 AM,M14,ON,
29-02-2008,12:21:32 AM,M07,OFF,
29-02-2008,12:21:32 AM,M01,OFF,
29-02-2008,12:21:33 AM,M08,OFF,
29-02-2008,12:21:34 AM,M13,ON,
29-02-2008,12:21:34 AM,M23,OFF,
29-02-2008,12:21:34 AM,I08,ABSENT,
29-02-2008,12:21:36 AM,M14,OFF,
29-02-2008,12:21:39 AM,M13,OFF,
29-02-2008,12:21:39 AM,M13,ON,
29-02-2008,12:21:43 AM,M13,OFF,
29-02-2008,12:21:44 AM,M13,ON,
29-02-2008,12:21:52 AM,M13,OFF,
29-02-2008,12:21:55 AM,M13,ON,
29-02-2008,01:21:59 PM,asterisk,START,
29-02-2008,12:22:02 AM,M13,OFF,
29-02-2008,12:22:02 AM,M13,ON,
29-02-2008,12:22:06 AM,M13,OFF,
29-02-2008,12:22:21 AM,M13,ON,
29-02-2008,12:22:23 AM,M13,OFF,
29-02-2008,12:22:48 AM,M13,ON,
29-02-2008,12:22:51 AM,M13,OFF,
29-02-2008,12:22:57 AM,M13,ON,
29-02-2008,12:23:02 AM,M13,OFF,
29-02-2008,01:23:18 PM,asterisk,END,
29-02-2008,12:23:18 AM,M13,ON,
29-02-2008,12:23:20 AM,M13,ON,
29-02-2008,12:23:20 AM,M13,OFF,
29-02-2008,12:23:22 AM,M13,OFF,
29-02-2008,12:23:26 AM,M13,ON,Phone_Call end
29-02-2008,12:23:50 AM,M14,ON,Wash_hands begin
29-02-2008,12:23:51 AM,M15,ON,
29-02-2008,12:23:51 AM,M16,ON,
29-02-2008,12:23:53 AM,M17,ON,
29-02-2008,12:23:53 AM,M14,OFF,
29-02-2008,12:23:54 AM,M13,OFF,
29-02-2008,12:23:54 AM,M16,OFF,
29-02-2008,12:23:54 AM,M15,OFF,
29-02-2008,12:23:55 AM,AD1-B,0.0369928,
29-02-2008,12:23:57 AM,M17,OFF,
29-02-2008,12:24:14 AM,AD1-B,0.173948,
29-02-2008,12:24:15 AM,M17,ON,
29-02-2008,12:24:19 AM,M17,OFF,
29-02-2008,12:24:19 AM,M17,ON,
29-02-2008,12:24:19 AM,AD1-B,0.0929702,
29-02-2008,12:24:24 AM,M17,OFF,
29-02-2008,12:24:24 AM,M17,ON,
29-02-2008,12:24:28 AM,M18,ON,
29-02-2008,12:24:33 AM,M18,OFF,
29-02-2008,12:24:35 AM,M17,OFF,
29-02-2008,12:24:36 AM,M17,ON,Wash_hands end
29-02-2008,12:24:55 AM,D01,OPEN,Cook begin
29-02-2008,12:24:56 AM,I02,ABSENT,
29-02-2008,12:24:57 AM,M17,OFF,
29-02-2008,12:24:59 AM,I05,ABSENT,
29-02-2008,12:25:02 AM,I03,ABSENT,
29-02-2008,12:25:05 AM,I03,PRESENT,
29-02-2008,12:25:06 AM,I01,ABSENT,
29-02-2008,12:25:09 AM,D01,CLOSE,
29-02-2008,12:25:11 AM,M17,ON,
